cluster_name,clean_name,review_count,average_rating
Batteries & Accesories mix (AmazonBasics),amazonbasics aa performance alkaline batteries 48 count - packaging may vary,3519,4.425973287865871
Batteries & Accesories mix (AmazonBasics),amazonbasics aaa performance alkaline batteries 36 count,7754,4.411013670363683
E-Readers & Kindle Accessories,amazon kindle paperwhite - ebook reader - - 6 monochrome paperwhite - touchscreen - -,3176,4.755037783375315
E-Readers & Kindle Accessories,amazon 9w powerfast official oem usb charger and power adapter for fire tablets and kindle ereaders,61,4.737704918032787
E-Readers & Kindle Accessories,kindle voyage e-reader 6 high-resolution 300 ppi with adaptive built-in light pagepress sensors -,1085,4.735483870967742
Smart Devices & Streaming,amazon fire hd 10 tablet special offers - aluminum amazon fire hd 10 tablet special offers - aluminum,128,4.7734375
Smart Devices & Streaming,amazon - echo plus w built-in hub -,590,4.749152542372881
Smart Devices & Streaming,amazon - amazon tap portable bluetooth and speaker - amazon - amazon tap portable bluetooth and speaker -,318,4.729559748427673
Tablets,amazon fire hd 8 8in tablet b018szt3bk 2016 android amazon fire hd 8 8in tablet b018szt3bk 2016 android,135,4.7407407407407405
Tablets,fire hd 8 kids edition tablet 8 hd kid-proof case,526,4.636882129277566
Tablets,"amazon fire hd 8 8"" hd tablet",130,4.607692307692307
